Country_Target_Encoded,Year,temperature
0.38496774193548383,2022,0.714
0.7590483870967742,1961,0.274
0.7590483870967742,1962,0.152
0.7590483870967742,1963,-0.075
0.7590483870967742,1964,0.347
0.7590483870967742,1965,-0.127
0.7590483870967742,1966,0.535
0.7590483870967742,1967,0.023
0.7590483870967742,1968,0.078
0.7590483870967742,1969,0.058
0.7590483870967742,1970,-0.2
0.7590483870967742,1971,-0.225
0.7590483870967742,1972,-0.34
0.7590483870967742,1973,-0.122
0.7590483870967742,1974,-0.332
0.7590483870967742,1975,-0.35
0.7590483870967742,1976,-0.731
0.7590483870967742,1977,0.598
0.7590483870967742,1978,-0.392
0.7590483870967742,1979,0.426
0.7590483870967742,1980,-0.197
0.7590483870967742,1981,0.094
0.7590483870967742,1982,0.821
0.7590483870967742,1983,0.226
0.7590483870967742,1984,-0.112
0.7590483870967742,1985,0.407
0.7590483870967742,1986,0.447
0.7590483870967742,1987,0.61
0.7590483870967742,1988,1.336
0.7590483870967742,1989,0.481
0.7590483870967742,1990,1.418
0.7590483870967742,1991,-0.041
0.7590483870967742,1992,0.0
0.7590483870967742,1993,0.635
0.7590483870967742,1994,1.328
0.7590483870967742,1995,0.659
0.7590483870967742,1996,0.633
0.7590483870967742,1997,1.252
0.7590483870967742,1998,0.987
0.7590483870967742,1999,1.747
0.7590483870967742,2000,1.014
0.7590483870967742,2001,1.992
0.7590483870967742,2002,1.25
0.7590483870967742,2003,1.697
0.7590483870967742,2004,0.916
0.7590483870967742,2005,1.047
0.7590483870967742,2006,1.271
0.7590483870967742,2007,1.388
0.7590483870967742,2008,1.374
0.7590483870967742,2009,0.865
0.7590483870967742,2010,1.752
0.7590483870967742,2011,1.038
0.7590483870967742,2012,1.607
0.7590483870967742,2013,1.47
0.7590483870967742,2014,1.879
0.7590483870967742,2015,1.192
0.7590483870967742,2016,1.896
0.7590483870967742,2017,1.377
0.7590483870967742,2018,1.507
0.7590483870967742,2019,1.34
0.7590483870967742,2020,2.015
0.7590483870967742,2021,2.555
0.7590483870967742,2022,2.291
0.6080322580645161,1961,0.0
0.6080322580645161,1962,0.0
0.6080322580645161,1963,0.0
0.6080322580645161,1964,0.0
0.6080322580645161,1965,0.0
0.6080322580645161,1966,0.0
0.6080322580645161,1967,0.0
0.6080322580645161,1968,0.0
0.6080322580645161,1969,0.0
0.6080322580645161,1970,0.0
0.6080322580645161,1971,0.0
0.6080322580645161,1972,0.0
0.6080322580645161,1973,0.0
0.6080322580645161,1974,0.0
0.6080322580645161,1975,0.0
0.6080322580645161,1976,0.0
0.6080322580645161,1977,0.0
0.6080322580645161,1978,0.0
0.6080322580645161,1979,0.0
0.6080322580645161,1980,0.0
0.6080322580645161,1981,0.0
0.6080322580645161,1982,0.0
0.6080322580645161,1983,0.0
0.6080322580645161,1984,0.0
0.6080322580645161,1985,0.0
0.6080322580645161,1986,0.0
0.6080322580645161,1987,0.0
0.6080322580645161,1988,0.0
0.6080322580645161,1989,0.0
0.6080322580645161,1990,0.0
0.6080322580645161,1991,0.0
0.6080322580645161,1992,-0.059
0.6080322580645161,1993,-0.157
0.6080322580645161,1994,0.289
0.6080322580645161,1995,1.404
0.6080322580645161,1996,-0.032
0.6080322580645161,1997,1.387
0.6080322580645161,1998,0.977
0.6080322580645161,1999,1.309
0.6080322580645161,2000,1.302
0.6080322580645161,2001,1.533
0.6080322580645161,2002,1.804
0.6080322580645161,2003,0.057
0.6080322580645161,2004,1.652
0.6080322580645161,2005,1.303
0.6080322580645161,2006,1.697
0.6080322580645161,2007,1.127
0.6080322580645161,2008,0.731
0.6080322580645161,2009,1.064
0.6080322580645161,2010,1.891
0.6080322580645161,2011,1.098
0.6080322580645161,2012,0.78
0.6080322580645161,2013,1.643
0.6080322580645161,2014,0.714
0.6080322580645161,2015,1.427
0.6080322580645161,2016,2.02
0.6080322580645161,2017,1.692
0.6080322580645161,2018,1.524
0.6080322580645161,2019,1.818
0.6080322580645161,2020,1.528
0.6080322580645161,2021,1.647
0.6080322580645161,2022,2.528
0.515774193548387,1961,0.154
0.515774193548387,1962,-0.227
0.515774193548387,1963,0.169
0.515774193548387,1964,0.348
0.515774193548387,1965,-0.178
0.515774193548387,1966,-0.024
0.515774193548387,1967,-0.179
0.515774193548387,1968,-0.125
0.515774193548387,1969,0.316
0.515774193548387,1970,-0.062
0.515774193548387,1971,-0.162
0.515774193548387,1972,-0.084
0.515774193548387,1973,0.126
0.515774193548387,1974,-0.102
0.515774193548387,1975,0.232
0.515774193548387,1976,-0.35
0.515774193548387,1977,0.223
0.515774193548387,1978,0.622
0.515774193548387,1979,-0.005
0.515774193548387,1980,0.36
0.515774193548387,1981,0.371
0.515774193548387,1982,0.468
0.515774193548387,1983,0.636
0.515774193548387,1984,0.279
0.515774193548387,1985,0.12
0.515774193548387,1986,0.269
0.515774193548387,1987,0.81
0.515774193548387,1988,0.588
0.515774193548387,1989,0.317
0.515774193548387,1990,0.583
0.515774193548387,1991,0.0
0.515774193548387,1992,0.0
0.515774193548387,1993,0.0
0.515774193548387,1994,0.0
0.515774193548387,1995,0.0
0.515774193548387,1996,0.592
0.515774193548387,1997,0.902
0.515774193548387,1998,1.354
0.515774193548387,1999,0.918
0.515774193548387,2000,0.592
0.515774193548387,2001,1.002
0.515774193548387,2002,0.885
0.515774193548387,2003,1.321
0.515774193548387,2004,0.86
0.515774193548387,2005,0.967
0.515774193548387,2006,1.009
0.515774193548387,2007,1.331
0.515774193548387,2008,0.649
0.515774193548387,2009,0.74
0.515774193548387,2010,1.185
0.515774193548387,2011,0.595
0.515774193548387,2012,0.777
0.515774193548387,2013,1.307
0.515774193548387,2014,1.247
0.515774193548387,2015,1.471
0.515774193548387,2016,0.831
0.515774193548387,2017,1.063
0.515774193548387,2018,0.0
0.515774193548387,2019,1.456
0.515774193548387,2020,1.547
0.515774193548387,2021,0.94
0.515774193548387,2022,0.944
0.3402903225806451,1961,-0.071
0.3402903225806451,1962,0.085
0.3402903225806451,1963,-0.033
0.3402903225806451,1964,-0.028
0.3402903225806451,1965,-0.33
0.3402903225806451,1966,-0.011
0.3402903225806451,1967,-0.252
0.3402903225806451,1968,-0.268
0.3402903225806451,1969,0.186
0.3402903225806451,1970,0.058
0.3402903225806451,1971,-0.356
0.3402903225806451,1972,0.038
0.3402903225806451,1973,0.412
0.3402903225806451,1974,0.072
0.3402903225806451,1975,0.0
0.3402903225806451,1976,-0.077
0.3402903225806451,1977,-0.047
0.3402903225806451,1978,0.073
0.3402903225806451,1979,0.252
0.3402903225806451,1980,0.293
0.3402903225806451,1981,0.151
0.3402903225806451,1982,0.036
0.3402903225806451,1983,-0.063
0.3402903225806451,1984,0.094
0.3402903225806451,1985,0.188
0.3402903225806451,1986,0.427
0.3402903225806451,1987,0.005
0.3402903225806451,1988,0.089
0.3402903225806451,1989,-0.122
0.3402903225806451,1990,0.222
0.3402903225806451,1991,0.541
0.3402903225806451,1992,0.232
0.3402903225806451,1993,0.008
0.3402903225806451,1994,0.0
0.3402903225806451,1995,0.399
0.3402903225806451,1996,0.364
0.3402903225806451,1997,0.41
0.3402903225806451,1998,0.192
0.3402903225806451,1999,0.392
0.3402903225806451,2000,0.501
0.3402903225806451,2001,0.761
0.3402903225806451,2002,0.793
0.3402903225806451,2003,0.549
0.3402903225806451,2004,0.636
0.3402903225806451,2005,0.815
0.3402903225806451,2006,0.668
0.3402903225806451,2007,0.758
0.3402903225806451,2008,0.392
0.3402903225806451,2009,0.665
0.3402903225806451,2010,0.922
0.3402903225806451,2011,0.805
0.3402903225806451,2012,0.612
0.3402903225806451,2013,0.682
0.3402903225806451,2014,0.646
0.3402903225806451,2015,0.798
0.3402903225806451,2016,0.921
0.3402903225806451,2017,1.013
0.3402903225806451,2018,0.975
0.3402903225806451,2019,1.078
0.3402903225806451,2020,1.195
0.3402903225806451,2021,0.689
0.3402903225806451,2022,0.663
0.49616129032258066,1961,-0.032
0.49616129032258066,1962,-0.295
0.49616129032258066,1963,-0.183
0.49616129032258066,1964,-0.236
0.49616129032258066,1965,-0.117
0.49616129032258066,1966,-0.007
0.49616129032258066,1967,-0.09
0.49616129032258066,1968,-0.268
0.49616129032258066,1969,0.122
0.49616129032258066,1970,0.037
0.49616129032258066,1971,-0.158
0.49616129032258066,1972,0.093
0.49616129032258066,1973,0.374
0.49616129032258066,1974,-0.109
0.49616129032258066,1975,-0.036
0.49616129032258066,1976,0.07
0.49616129032258066,1977,0.215
0.49616129032258066,1978,0.156
0.49616129032258066,1979,0.33
0.49616129032258066,1980,0.626
0.49616129032258066,1981,0.448
0.49616129032258066,1982,0.385
0.49616129032258066,1983,0.664
0.49616129032258066,1984,0.279
0.49616129032258066,1985,0.098
0.49616129032258066,1986,0.237
0.49616129032258066,1987,0.605
0.49616129032258066,1988,0.433
0.49616129032258066,1989,-0.103
0.49616129032258066,1990,0.264
0.49616129032258066,1991,0.207
0.49616129032258066,1992,0.248
0.49616129032258066,1993,0.176
0.49616129032258066,1994,0.269
0.49616129032258066,1995,0.431
0.49616129032258066,1996,0.299
0.49616129032258066,1997,0.542
0.49616129032258066,1998,0.411
0.49616129032258066,1999,0.072
0.49616129032258066,2000,0.273
0.49616129032258066,2001,0.183
0.49616129032258066,2002,0.675
0.49616129032258066,2003,0.908
0.49616129032258066,2004,0.681
0.49616129032258066,2005,1.232
0.49616129032258066,2006,0.967
0.49616129032258066,2007,0.455
0.49616129032258066,2008,0.774
0.49616129032258066,2009,1.295
0.49616129032258066,2010,1.425
0.49616129032258066,2011,1.099
0.49616129032258066,2012,1.117
0.49616129032258066,2013,1.06
0.49616129032258066,2014,1.136
0.49616129032258066,2015,1.159
0.49616129032258066,2016,1.262
0.49616129032258066,2017,1.735
0.49616129032258066,2018,1.102
0.49616129032258066,2019,1.616
0.49616129032258066,2020,1.236
0.49616129032258066,2021,1.499
0.49616129032258066,2022,1.416
0.6366290322580646,1961,0.0
0.6366290322580646,1962,0.0
0.6366290322580646,1963,0.0
0.6366290322580646,1964,0.0
0.6366290322580646,1965,0.0
0.6366290322580646,1966,0.0
0.6366290322580646,1967,0.0
0.6366290322580646,1968,0.0
0.6366290322580646,1969,0.0
0.6366290322580646,1970,0.0
0.6366290322580646,1971,0.0
0.6366290322580646,1972,0.0
0.6366290322580646,1973,0.0
0.6366290322580646,1974,0.0
0.6366290322580646,1975,0.0
